time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-07-23T18:02:14.750Z,35.9793333333333,-91.2045,17.65,1.06,md,3,240,0.09931,0.04,nm,nm60500948,2023-07-24T14:13:49.140Z,"5 km SE of Lynn, Arkansas",earthquake,1.36,2.03,0.0493342666165342,3,reviewed,nm,nm
2023-07-23T17:55:42.950Z,18.1536666666667,-66.7266666666667,21.14,2.37,md,12,104,0.09877,0.13,pr,pr71419033,2023-07-23T18:04:51.690Z,"1 km SSW of Adjuntas, Puerto Rico",earthquake,0.36,0.62,0.127945173223072,8,reviewed,pr,pr
2023-07-23T17:52:38.970Z,35.9391666666667,-91.2721666666667,16.27,1.69,md,5,182,0.1619,0.15,nm,nm60500943,2023-07-24T12:47:12.390Z,"Arkansas",earthquake,0.82,1.53,0.114321143446714,5,reviewed,nm,nm
2023-07-23T17:51:18.330Z,35.9386666666667,-91.277,15.24,1.51,md,5,181,0.1647,0.15,nm,nm60500938,2023-07-24T13:04:03.120Z,"5 km SE of Strawberry, Arkansas",earthquake,1.09,1.65,0.0485450170015245,5,reviewed,nm,nm
2023-07-23T17:46:34.460Z,34.5021667,-118.6958333,15.8,1.6,ml,47,55,0.066,0.2,ci,ci39619922,2023-07-24T20:17:29.350Z,"7km WNW of Castaic, CA",earthquake,0.22,0.58,0.155,31,reviewed,ci,ci
2023-07-23T17:46:16.390Z,51.8588333333333,-178.056333333333,8.41,0.82,ml,6,109,,0.2,av,av91974801,2023-07-25T17:26:39.600Z,"97 km W of Adak, Alaska",earthquake,0.72,0.76,0.321770917238689,6,reviewed,av,av
2023-07-23T17:44:28.921Z,60.7084,-151.1665,63,1.2,ml,,,,0.55,ak,ak0239do0nrg,2023-07-29T16:12:02.796Z,"6 km ENE of Nikiski, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2023-07-23T17:43:06.910Z,35.944,-91.2863333333333,13.42,1.66,md,9,105,0.1653,0.25,nm,nm60500933,2023-07-24T12:42:42.700Z,"4 km SE of Strawberry, Arkansas",earthquake,0.68,1.44,0.123424664569945,6,reviewed,nm,nm
2023-07-23T17:40:33.014Z,52.6061,-169.2628,25.7,2.2,ml,,,,0.7,ak,ak0239dnzt9u,2023-07-29T16:11:56.505Z,"45 km SW of Nikolski, Alaska",earthquake,,2.1,,,reviewed,ak,ak
2023-07-23T17:38:56.450Z,35.9573333333333,-91.3023333333333,15.56,2.47,md,35,80,0.1646,0.21,nm,nm60538361,2023-09-30T21:36:39.040Z,"2 km ESE of Strawberry, Arkansas",earthquake,0.25,0.4,0.114832856151315,22,reviewed,nm,nm
